1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|
11. And whosoever shall not receive you, nor hear you, when ye depart thence, shake off the dust under your feet for a testimony against them. [Amin AM.B->2] I say unto you, It shall be more tolerable for Sodom and Gomorrha in The Day of Judgment, than for that city.	και οσοι αν μη δεξωνται υμας μηδε ακουωσιν υμων εκπορευομενοι εκειθεν εκτιναξατε τον χουν τον υποκατω των ποδων υμων εις μαρτυριον αυτοις. αμην λεγω υμιν ανεκτοτερον εσται σοδομοις η γομορροις εν ημερα κρισεως η τη πολει εκεινη.	kai osoi an me dexontai umas mede akouosin umon ekporeuomenoi ekeithen ektinaxate ton choun ton upokato ton podon umon eis marturion autois. amen lego umin anektoteron estai sodomois e gomorrois en emera kriseos e te polei ekeine.	Mar|6|11|

12. And they went out, and preached that men should repent.	και εξελθοντες εκηρυσσον ινα μετανοησωσιν	kai exelthontes ekerusson ina metanoesosin	Mar|6|12|

13. And they cast out many devils, and anointed with oil many that were sick, and healed them.	και δαιμονια πολλα εξεβαλλον και ηλειφον ελαιω πολλους αρρωστους και εθεραπευον.	kai daimonia polla exeballon kai eleiphon elaio pollous arrostous kai etherapeuon.	Mar|6|13|

14. And king Herod heard of Him; for His [Name NM.A->18] was spread abroad: and he said, That John the Baptist was risen from the dead, and therefore mighty works do shew forth themselves in Him.	και ηκουσεν ο βασιλευς ηρωδης φανερον γαρ εγενετο το ονομα αυτου και ελεγεν οτι ιωαννης ο βαπτιζων εκ νεκρων ηγερθη και δια τουτο ενεργουσιν αι δυναμεις εν αυτω.	kai ekousen o basileus erodes phaneron gar egeneto to onoma autou kai elegen oti ioannes o baptizon ek nekron egerthe kai dia touto energousin ai dunameis en auto.	Mar|6|14|

15. Others said, That it is Elijah. And others said, That it is a [prophet PR.B->3], or as one of the [prophets PR.B->4].	αλλοι ελεγον οτι ηλιας εστιν αλλοι δε ελεγον οτι προφητης εστιν ως εις των προφητων.	alloi elegon oti elias estin alloi de elegon oti prophetes estin os eis ton propheton.	Mar|6|15|

16. But when Herod heard thereof, he said, It is John, whom I beheaded: he is risen from the dead.	ακουσας δε ο ηρωδης ειπεν οτι ον εγω απεκεφαλισα ιωαννην ουτος εστιν αυτος ηγερθη εκ νεκρων.	akousas de o erodes eipen oti on ego apekephalisa ioannen outos estin autos egerthe ek nekron.	Mar|6|16|

17. For Herod himself had sent forth and laid hold upon John, and bound him in prison for Herodiasí sake, his brother Philipís wife: for he had married her.	αυτος γαρ ο ηρωδης αποστειλας εκρατησε τον ιωαννην και εδησεν αυτον εν φυλακη δια ηρωδιαδα την γυναικα φιλιππου του αδελφου αυτου οτι αυτην εγαμησεν.	autos gar o erodes aposteilas ekratese ton ioannen kai edesen auton en phulake dia erodiada ten gunaika philippou tou adelphou autou oti auten egamesen.	Mar|6|17|

18. For John had said unto Herod, It is not lawful for thee to have thy brotherís wife.	ελεγε γαρ ο ιωαννης τω ηρωδη οτι ουκ εξεστι σοι εχειν την γυναικα του αδελφου σου.	elege gar o ioannes to erode oti ouk exesti soi echein ten gunaika tou adelphou sou.	Mar|6|18|

19. Therefore Herodias had a quarrel against him, and would have killed him; but she could not:	η δε ηρωδιας ενειχεν αυτω και ηθελεν αυτον αποκτειναι και ουκ ηδυνατο.	e de erodias eneichen auto kai ethelen auton apokteinai kai ouk edunato.	Mar|6|19|

20. For Herod feared John, knowing that he was a righteous man and an holy, and observed him; and when he heard him, he did many things, and heard him gladly.	ο γαρ ηρωδης εφοβειτο τον ιωαννην ειδως αυτον ανδρα δικαιον και αγιον και συνετηρει αυτον και ακουσας αυτου πολλα εποιει και ηδεως αυτου ηκουε.	o gar erodes ephobeito ton ioannen eidos auton andra dikaion kai agion kai suneterei auton kai akousas autou polla epoiei kai edeos autou ekoue.	Mar|6|20|

21. And when a convenient day was come, that Herod on his birthday made a supper to his masters, high captains, and chief estates of Galilee;	και γενομενης ημερας ευκαιρου οτε ηρωδης τοις γενεσιοις αυτου δειπνον εποιει τοις μεγιστασιν αυτου και τοις χιλιαρχοις και τοις πρωτοις της γαλιλαιας	kai genomenes emeras eukairou ote erodes tois genesiois autou deipnon epoiei tois megistasin autou kai tois chiliarchois kai tois protois tes galilaias	Mar|6|21|

22. And when the daughter of the said Herodias came in, and danced, and pleased Herod and them that sat with him, the king said unto the damsel, Ask of me whatsoever thou wilt, and I will give it thee.	και εισελθουσης της θυγατρος αυτης της ηρωδιαδος και ορχησαμενης και αρεσασης τω ηρωδη και τοις συνανακειμενοις ειπεν ο βασιλευς τω κορασιω αιτησον με ο εαν θελης και δωσω σοι.	kai eiselthouses tes thugatros autes tes erodiados kai orchesamenes kai aresases to erode kai tois sunanakeimenois eipen o basileus to korasio aiteson me o ean theles kai doso soi.	Mar|6|22|

23. And he sware unto her, Whatsoever thou shalt ask of me, I will give it thee, unto the half of my kingdom.	και ωμοσεν αυτη οτι ο εαν με αιτησης δωσω σοι εως ημισους της βασιλειας μου.	kai omosen aute oti o ean me aiteses doso soi eos emisous tes basileias mou.	Mar|6|23|

24. And she went forth, and said unto her mother, What shall I ask? And she said, The head of John the Baptist.	η δε εξελθουσα ειπε τη μητρι αυτης τι αιτησωμαι η δε ειπε την κεφαλην ιωαννου του βαπτιστου.	e de exelthousa eipe te metri autes ti aitesomai e de eipe ten kephalen ioannou tou baptistou.	Mar|6|24|

25. And she came in straightway with haste unto the king, and asked, saying, I will that thou give me by and by in a charger the head of John the Baptist.	και εισελθουσα ευθεως μετα σπουδης προς τον βασιλεα ητησατο λεγουσα θελω ινα μοι δως εξαυτης επι πινακι την κεφαλην ιωαννου του βαπτιστου.	kai eiselthousa eutheos meta spoudes pros ton basilea etesato legousa thelo ina moi dos exautes epi pinaki ten kephalen ioannou tou baptistou.	Mar|6|25|

26. And the king was exceeding sorry; yet for his oathís sake, and for their sakes which sat with him, he would not reject her.	και περιλυπος γενομενος ο βασιλευς δια τους ορκους και τους συνανακειμενους ουκ ηθελησεν αυτην αθετησαι.	kai perilupos genomenos o basileus dia tous orkous kai tous sunanakeimenous ouk ethelesen auten athetesai.	Mar|6|26|

27. And immediately the king sent an executioner, and commanded his head to be brought: and he went and beheaded him in the prison,	και ευθεως αποστειλας ο βασιλευς σπεκουλατορα επεταξεν ενεχθηναι την κεφαλην αυτου. ο δε απελθων απεκεφαλισεν αυτον εν τη φυλακη	kai eutheos aposteilas o basileus spekoulatora epetaxen enechthenai ten kephalen autou. o de apelthon apekephalisen auton en te phulake	Mar|6|27|

28. And brought his head in a charger, and gave it to the damsel: and the damsel gave it to her mother.	και ηνεγκε την κεφαλην αυτου επι πινακι και εδωκεν αυτην τω κορασιω και το κορασιον εδωκεν αυτην τη μητρι αυτης.	kai enegke ten kephalen autou epi pinaki kai edoken auten to korasio kai to korasion edoken auten te metri autes.	Mar|6|28|

29. And when his disciples heard of it, they came and took up his corpse, and laid it in a tomb.	και ακουσαντες οι μαθηται αυτου ηλθον και ηραν το πτωμα αυτου και εθηκαν αυτο εν μνημειω.	kai akousantes oi mathetai autou elthon kai eran to ptoma autou kai ethekan auto en mnemeio.	Mar|6|29|

30. And the apostles gathered themselves together unto Jesus, and told Him all things, both what they had done, and what they had taught.	και συναγονται οι αποστολοι προς τον ιησουν και απηγγειλαν αυτω παντα και οσα εποιησαν και οσα εδιδαξαν.	kai sunagontai oi apostoloi pros ton iesoun kai apeggeilan auto panta kai osa epoiesan kai osa edidaxan.	Mar|6|30|
